"Municipal and City Level Small Area Poverty Estimates; 2006, 2009 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province,,,Municipality/City,,,,,,,Poverty Incidence,,,,,,Coefficient of Variation*,,,,90% Confidence Interval,,,,,,
,,,,,,,,,,,,,,,,,,,,2006,,2009,,2012,,
,,,,,,,,,,2006,,2009,,2012,,2006,2009,2012,,Lower Limit,Upper Limit,Lower Limit,Upper Limit,Lower Limit,Upper Limit,
NCR,,,,,,,,,,,,,,,,,,,,,,,,,,
1st district,,,Tondo,,,,,,,4.1,,2.9,,3.1,,12.6,27.5,20.4,,3.3,5.0,1.6,4.2,2.1,4.2,
,,,Binondo,,,,,,,1.8,,1.0,,1.5,,18.1,68.0,41.9,,1.2,2.3,0.0,2.2,0.5,2.5,
,,,Quiapo,,,,,,,5.3,,2.1,,2.1,,7.9,42.4,28.1,,4.6,6.0,0.6,3.5,1.1,3.1,
,,,San Nicolas,,,,,,,4.9,,2.4,,3.0,,9.6,57.0,53.6,,4.1,5.7,0.1,4.7,0.4,5.5,
,,,Santa Cruz,,,,,,,4.3,,1.7,,1.5,,14.3,32.5,19.5,,3.3,5.3,0.8,2.5,1.0,2.0,
,,,Sampaloc,,,,,,,5.8,,1.3,,0.8,,11.9,23.6,24.7,,4.7,6.9,0.8,1.8,0.5,1.1,
,,,San Miguel,,,,,,,3.1,,1.4,,1.2,,47.2,67.4,73.1,,0.7,5.5,0.0,2.9,0.0,2.6,
,,,Ermita,,,,,,,4.4,,1.5,,0.9,,56.4,68.7,47.8,,0.3,8.5,0.0,3.1,0.2,1.6,
,,,Intramuros,,,,,,,3.0,,2.5,,2.5,,20.9,48.0,49.6,,2.0,4.1,0.5,4.5,0.5,4.5,
,,,Malate,,,,,,,6.4,,1.8,,1.3,,8.9,29.1,26.7,,5.5,7.3,0.9,2.6,0.7,1.9,
,,,Paco,,,,,,,6.0,,1.8,,0.9,,5.8,31.3,31.1,,5.5,6.6,0.9,2.8,0.4,1.4,
,,,Pandacan,,,,,,,6.0,,1.9,,1.6,,7.8,33.0,25.6,,5.2,6.8,0.9,2.9,0.9,2.2,
,,,Port Area,,,,,,,13.2,,11.9,,10.0,,15.2,57.5,45.2,,9.9,16.5,0.6,23.1,2.6,17.5,
