province,city_or_municipality,position,name,nikname,votes_obtained
Palawan,Kalayaan,Councilor,"Osorio, Noel Fabon",Noel,81
Palawan,Kalayaan,Councilor,"Dellosa, Allan Dalanon",Lan,82
Palawan,Kalayaan,Councilor,"Conde, W Cayanan",Boy,90
Palawan,Kalayaan,Councilor,"Rabaya, Angel Jr. Calago",Jhun,97
Palawan,Kalayaan,Councilor,"Del Mundo, Roberto Mendoza",Choy,98
Palawan,Kalayaan,Vice-Mayor,"Del Rio, Lazaro Sales",Larry,99
Palawan,Kalayaan,Councilor,"Cayapas, Jaime Quinio",James,100
Palawan,Kalayaan,Mayor,"Mantes, Rosendo Lumerio",Ross,104
Palawan,Kalayaan,Councilor,"Milan, Vicencio Raiz",Ombet,104
Palawan,Kalayaan,Councilor,"Villon, Carlito Ornado",Lito,107
Lanao del Sur,Buadiposo-Buntong,Mayor,"Mariano, Moti Abedin",Mojib,122
Batanes,Uyugan,Councilor,"Bogador, Daniel Cabugao",Danny,241
Batanes,Ivana,Councilor,"Valenciano, Victor Pama",Eton,248
Batanes,Uyugan,Councilor,"Mislang, Alejandro Garcia",Alex,249
Batanes,Ivana,Vice-Mayor,"Hostallero, Leonardo Valones",Ading,258
Batanes,Uyugan,Councilor,"Doplito, Leon Adami",Leo,259
Batanes,Ivana,Councilor,"Agana, Jerry Adalla",Jher,266
Batanes,Uyugan,Councilor,"Adami, Gerardo Ybay",Indong,266
Batanes,Uyugan,Councilor,"Delos Santos, Bernardo Cabugao",Bernard,267
Batanes,Uyugan,Councilor,"Ibay, Alexander Cabugao",Alex,275
Mountain Province,Tadian,Councilor,"Abayo, Luciano Andres",Billa,277
Batanes,Ivana,Councilor,"Valiente, Pedro Cabugao",Pete,283
Batanes,Ivana,Councilor,"Adalla, Jorge Batallones",Ojing,285
Batanes,Ivana,Councilor,"Acebes, Roland Gari",Boyan A.,294
Ilocos Norte,Adams,Councilor,"Cascayan, Romualdo Sr. Abadilla",Maldo,307
Batanes,Ivana,Mayor,"Elizondo, Ramon Acebes",Monching,312
Batanes,Itbayat,Councilor,"Valiente, Telesforo Nobleza",Poro,319
Batanes,Ivana,Councilor,"Elica, Paulino Cultura",Paul,320
Ilocos Norte,Adams,Councilor,"Suniga, Eddie Boy Aguda",D-Boy,321
Ilocos Norte,Adams,Councilor,"Sacpa, Danny Tugade",Danny,323
Ilocos Norte,Adams,Councilor,"Dupagen, Teodoro Dalluyon",Teddy,323
Ilocos Norte,Adams,Councilor,"Acupan, Pio Benito",Pio,329
