province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Basilan,Akbar,Mayor,"Sali, Alih Awal",Alex,Liberal Party,3342
Basilan,Akbar,Vice-Mayor,"Yusop, Abdulhalik Sahalul",Lexdeth,Liberal Party,3116
Basilan,Akbar,Councilor,"Sali, Imraki Samputoh",Kotoy,Liberal Party,3033
Basilan,Akbar,Councilor,"Alam, Sali Hakim",Intong,Liberal Party,2703
Basilan,Akbar,Councilor,"Muslimin, Nurie Eloh",Salman,Liberal Party,2629
Basilan,Akbar,Councilor,"Birung, Mohammad Abdulla",Mhadz,Liberal Party,2523
Basilan,Akbar,Councilor,"Antih, Gamal Hirayat",Gams,Liberal Party,2501
Basilan,Akbar,Councilor,"Monbo, Jabbal Ibrahim",Jubair,Liberal Party,2312
Basilan,Akbar,Councilor,"Turabin, Abdulmajid Dalinding",Karih,Liberal Party,2240
Basilan,Akbar,Councilor,"Salih, Sappali Masnun",Pal,Liberal Party,2036
Basilan,Al-Barka,Mayor,"Lajid, Darussalam Saguindilan",Darus,Puwersa ng Masang Pilipino,3512
Basilan,Al-Barka,Vice-Mayor,"Sapi-E, Alih Alsaidi Jamli",Al,Puwersa ng Masang Pilipino,2231
Basilan,Al-Barka,Councilor,"Jakilan, Mohammad Jannatul",Ammad,Puwersa ng Masang Pilipino,2672
Basilan,Al-Barka,Councilor,"Ganarul, Hairi Hassan",Hay,Liberal Party,2639
Basilan,Al-Barka,Councilor,"Tamma, Abdulhamid Maranie",Hji Hamid,Liberal Party,2423
Basilan,Al-Barka,Councilor,"Indal, Adznan Tanjilani",Anninuh,Liberal Party,2288
Basilan,Al-Barka,Councilor,"Abanti, Hasid Ajalil",Tiboy,Puwersa ng Masang Pilipino,2194
Basilan,Al-Barka,Councilor,"Jannatin, Sawad Kullalul",Hji Darwis,Liberal Party,2162
Basilan,Al-Barka,Councilor,"Sandung, Rasid Sali",Ras,Padayon Pilipino,2158
Basilan,Al-Barka,Councilor,"Yusoph, Bhenzar Jallaha",Bhen,Liberal Party,1966
Basilan,Hadji Mohammad Ajul,Mayor,"Pawaki, Talib Garingan",Talib or Tals,Liberal Party,3816
Basilan,Hadji Mohammad Ajul,Vice-Mayor,"Pawaki, Mucarma Iraji",Aya or Hj. Aya,Liberal Party,3432
Basilan,Hadji Mohammad Ajul,Councilor,"Lamla, Maimuna Sali",May,Liberal Party,3858
Basilan,Hadji Mohammad Ajul,Councilor,"Totoh, Jaimar Sali",Jhay,Liberal Party,3262
Basilan,Hadji Mohammad Ajul,Councilor,"Muntasil, Nur-Amin Narimin",Ponsong,Liberal Party,2784
Basilan,Hadji Mohammad Ajul,Councilor,"Camlian, Basit Jalilul",King / Boy / Basit,Liberal Party,2666
Basilan,Hadji Mohammad Ajul,Councilor,"Saluwan, Abdulsuhud Parajan",Big Boy,Padayon Pilipino,2567
Basilan,Hadji Mohammad Ajul,Councilor,"Yunus, Allan Usmani",Assih,Padayon Pilipino,2492
Basilan,Hadji Mohammad Ajul,Councilor,"Adam, Alih Asali",Alex,Liberal Party,2459
Basilan,Hadji Mohammad Ajul,Councilor,"Salih, Khismar Sapilin",Khis,Liberal Party,2367
Basilan,Hadji Muhtamad,Mayor,"Mansul, Jamar Abdulla",Tapang,Puwersa ng Masang Pilipino,2874
Basilan,Hadji Muhtamad,Vice-Mayor,"Nanoh, Arsina Kahing",Sina,United Nationalist Alliance,3184
Basilan,Hadji Muhtamad,Councilor,"Saililla, Abdulhakim Uddin",Hakim,Liberal Party,2614
Basilan,Hadji Muhtamad,Councilor,"Hasim, Seymor Alpad",Imong,Liberal Party,2328
Basilan,Hadji Muhtamad,Councilor,"Abdulmajid, Daud Mutamad",Daud,Liberal Party,2167
Basilan,Hadji Muhtamad,Councilor,"Mohammad, Mufti Ascali",Mega,Independent,2092
Basilan,Hadji Muhtamad,Councilor,"Alih, Max Asmaluddin",Max,Liberal Party,1962
Basilan,Hadji Muhtamad,Councilor,"Julkipli, Puraida Indanan",Puray,Liberal Party,1937
Basilan,Hadji Muhtamad,Councilor,"Allama, Abdulmaser Jamil",Masing,Liberal Party,1921
Basilan,Hadji Muhtamad,Councilor,"Ahmad, Zaldy Amang",Dhing,Liberal Party,1898
Basilan,Isabela City,City Mayor,"Akbar, Cherrylyn Santos",Cherry,Liberal Party,28775
Basilan,Isabela City,City Vice-Mayor,"Ajibon, Abdulbaki Jahandal",Panther,Independent,19232
Basilan,Isabela City,Councilor,"Tiplani, Jashim Idarus",Lannang,Padayon Pilipino,22417
Basilan,Isabela City,Councilor,"Casas, Jeromy Lim",Jay,Liberal Party,19292
Basilan,Isabela City,Councilor,"Akbar, Al-Qaid Jainnudin",Choi,Liberal Party,19087
Basilan,Isabela City,Councilor,"Muarip, Moumar Lipai",Mhar,Liberal Party,18097
Basilan,Isabela City,Councilor,"Tubongbanua, Maria Jennesa Santos",Jenny,Liberal Party,17835
Basilan,Isabela City,Councilor,"Ismael, Mashur Hussien",Jojie,Independent,16501
Basilan,Isabela City,Councilor,"Rodriguez, James Abner Suson",Abner,Liberal Party,15747
Basilan,Isabela City,Councilor,"Jilhani, Placido Sulay",Cido,Padayon Pilipino,15658
Basilan,Isabela City,Councilor,"Alejo, Taib Abdulhamid",Max,Padayon Pilipino,15466
Basilan,Isabela City,Councilor,"Dans, Nida Pati",Nida,Independent,15036
Basilan,Lamitan City,City Mayor,"Furigay, Rosita Uy",Rose,Independent,12200
Basilan,Lamitan City,City Vice-Mayor,"Furigay, Roderick Herrera",Oric,Liberal Party,17217
Basilan,Lamitan City,Councilor,"Jawad-Jumao-As, Arlyn Ortalla",Dra. Jawad,Independent,12036
Basilan,Lamitan City,Councilor,"Hassan, Rima Hasim",Rima,Liberal Party,11750
Basilan,Lamitan City,Councilor,"Kallahal, Mayra Langkahan",May,Liberal Party,10806
Basilan,Lamitan City,Councilor,"Flores, Jessica Eisma",Jeng,Nationalista Party,10702
Basilan,Lamitan City,Councilor,"Polo, Sali Adjilul",Sal,Independent,10455
Basilan,Lamitan City,Councilor,"Mateo, Roy Macansantos",Roy,Independent,9367
Basilan,Lamitan City,Councilor,"Baul, Noel Daring",Weng,Independent,9134
Basilan,Lamitan City,Councilor,"San Juan, Clarito Blanca",Itoy,Liberal Party,9026
Basilan,Lamitan City,Councilor,"Uyag, Malik Alap",Uyag,Liberal Party,8824
Basilan,Lamitan City,Councilor,"Ramos, Tito Quijano",Toh,Nationalista Party,8013
Basilan,Lantawan,Mayor,"Ismael, Rustam Muhtamad",Ruth,Liberal Party,6277
Basilan,Lantawan,Vice-Mayor,"Utoh, Gani Abdulgani",Gans,United Nationalist Alliance,5866
Basilan,Lantawan,Councilor,"Ajijon, Abdulhamid Upao",Mid,Liberal Party,3645
Basilan,Lantawan,Councilor,"Ismael, Ummu Aiman Sulaiman",Ai-Ai,Independent,3641
Basilan,Lantawan,Councilor,"Jundam, Sittiherna Intong",Embeng,Independent,3441
Basilan,Lantawan,Councilor,"Manuel, Shehama Husin",Sheng,Liberal Party,3359
Basilan,Lantawan,Councilor,"Dansalan, Gamar Nul",Gam's,Liberal Party,3282
Basilan,Lantawan,Councilor,"Hadjirul, Anang Indanan",Hja. Anang,Liberal Party,3023
Basilan,Lantawan,Councilor,"Lazaro, Ust. Patta Siddik",Omar,Liberal Party,2954
Basilan,Lantawan,Councilor,"Omaga, Norijam Kasim",Idjam,United Nationalist Alliance,2842
Basilan,Maluso,Mayor,"Daud, Indanan Kasim",Dan,Liberal Party,6535
Basilan,Maluso,Vice-Mayor,"Daud, Sumatra Taha",Hja Sumat,Liberal Party,5833
Basilan,Maluso,Councilor,"Barang, Abbas Jr. Tahil",Bars,Independent,6034
Basilan,Maluso,Councilor,"Sonny, Melanie Jalilula",Mel,Liberal Party,4842
