Municipality,MPAs,2006,2009,2012
Larena,3,21,21,7.8
Kalamansig,1,47.3,50.6,51
Nueva Valencia,2,29.7,36.4,19
Ormoc City,9,25.5,28.3,25.7
Anilao,1,30.3,31.5,27.3
Santander,1,56.3,41.9,27.9
Dauis,5,40.5,30.1,17
Roseller Lim,1,41.1,51.2,50
Madridejos,4,45.1,50.6,36.3
Magdiwang,1,45.1,50.6,36.3
Tabogon,2,48.1,47,34.8
Bontoc,1,35.8,43.2,39.8
Sulat,1,28.9,42,36.5
San Jose,3,32.2,46.1,48.1
Malapatan,3,43.9,54.1,53.1
Ajuy,3,34.8,30.9,30.6
Padre Burgos,5,33.6,17.2,27
Placer,1,30.6,47.7,29.5
San Benito,1,48.2,62.6,42.4
San Teodoro,2,40.8,33.6,14.8
Maasin,1,37.4,22.6,28.3
Bacong,1,24.2,20.8,18.5
San Fernando City ,2,14.4,15,3.8
Alubijid,1,47.4,53.7,35.4
Barbaza,1,28.5,46.3,23.4
Tagana-An,1,49.6,50.4,43.7
Ragay,1,47.6,46.4,37.4
San Vicente,3,38.4,25.6,30.1
Malay,1,27.6,24.8,12.1
Roxas,4,29.4,24.9,21
Merida,1,28.3,32,38.7
Dinalungan,2,31,25.6,13.8
Parang,1,36.1,42,74
Ivisan,1,28,20.2,31.7
Pandan,4,33.9,40.1,20.9
Alicia,1,46.4,54,45.9
Duero,7,38,51.7,29.6
Jose Panganiban,1,32.9,37.3,23.5
Danao City,1,30.7,31.6,16.6
Tabina,2,32.1,47.6,32.3
Mambajao,6,37.4,36.2,30.9
San Juan,18,39.5,42.9,31.4
Salcedo,3,40.1,45.8,43.9
Tabuelan,2,66.5,53.8,33.4
Malinao,1,47.3,40.2,32.9
Liloan,1,22,18,10.5
Laua-An,1,36.1,42.1,25.9
Panay,1,23.9,23.1,30.8
Giporlos,2,44.3,44.9,48.1
Loon,14,39.4,38.8,22
Surigao City,1,32.4,40.1,21.5
Malita,1,53,63.8,60.8
La Libertad,1,55.9,50.2,51
San Felipe,1,7.7,14.5,13.7
Opol,1,30.4,31.1,14.3
Balangiga,1,36.9,44.2,40.6
Cortes,8,42,36.4,23.3
Manjuyod,3,35.5,42.5,33.6
Caibiran,1,27.6,38.3,36.3
Pagbilao,1,12.9,13.4,12.1
Vincenzo A. Sagun,1,34.7,46.5,46.2
Santa Fe,7,65,56.2,39.8
Alegria,3,47.6,57.2,38.3
Magallanes,1,53.4,44.6,44.1
Gingoog City,1,44.1,48.7,27.7
Basco,1,4.1,5.1,16.9
Cagdianao,1,60.6,55.6,54.2
Matnog,1,46.7,43.2,45.2
Tomas Oppus,1,27.3,39.7,42.2
Guindulman,3,46.9,27.5,29.1
Marabut,2,35,44.4,37.2
Samboan,1,49.5,53.1,31.7
Ipil,1,29.3,32.2,19.7
Palompon,2,30.1,30.3,27.7
Jagna,10,34.2,36.4,19.6
Puerto Princesa City,9,9.2,15.5,7.8
Nabas,1,36.6,36.9,25.4
Compostela,1,10.8,15.1,14.6
Zumarraga,1,46.1,49.9,49.5
San Francisco,3,26.3,36.7,40
Nasugbu,5,17.9,17.3,15.3
Carigara,2,31.4,32.1,34.7
Basay,2,50.9,45.8,46.4
Dinas,2,35.5,43.1,48.2
Villanueva,1,40.9,40.5,20.2
Labangan,2,29.6,33.9,35.3
Alabel,1,32.3,41,45.9
Estancia,1,30.3,22.1,26.1
