,Region,Province,Municipality,MPA Name,Year,Long,Lat
1,X,Misamis Occidental,-,Aloran Marine Sanctuary,2005,123.6354556,8.653183333
2,X,Misamis Occidental,-,Oroquieta City Marine Sanctuary,1999,123.8048255,8.493755468
3,X,Misamis Occidental,-,Poblacion MPA,2008,123.711,8.042
4,X,Camiguin,-,Sunken Island Marine Reserve and Sanctuary,2004,123.370015,9.87758
5,VIII,Leyte,-,Cuatro Islas Protected Landscape and Seascape (1) - Apid Digyo and Mahaba Sanctuary,2000,124.61955,10.98513
6,VIII,Leyte,-,Cuatro Islas Protected Landscape and Seascape (2) - Himokilan Marine Sanctuary,2000,124.61955,10.98513
7,VIII,Eastern Samar,-,Paglalangan Marine Sanctuary,2003,125.48638,11.63222
8,VIII,Southern Leyte,-,Tabugon Marine Reserve,1996,125.1147,10.16919
9,VII,Bohol,-,Bantiguian Marine Sanctuary,2004,124.5505,10.06844
10,VII,Bohol,-,Butan Marine Sanctuary,1993,124.51723,10.11934
11,VII,Bohol,-,Datag Marine Sanctuary,2006,124.56473,10.19319
12,VII,Bohol,-,Kagamasa Marine Sanctuary,2004,124.5666667,10.1
13,VII,Bohol,-,Tilmobo Marine Sanctuary,2006,124.4824167,10.06225
14,VII,Bohol,-,Villa Milagrosa Fish Sanctuary,1993,124.573,10.09
15,VI,Antique,-,Iba and Poblacion Marine Sanctuary,2001,121.99541,10.43406
16,IV-B,Palawan,-,Caalan Marine Protected Area,2008,119.396,11.19836667
17,II,Cagayan,-,San Jose Marine Protected Area,1999,122.0908611,18.37998611
18,II,Cagayan,-,Tapel Marine Protected Area,2010,122.0227403,18.31163264
19,I,La Union,-,Paraoir Fish Sanctuary,2004,120.3386542,16.7260192
20,IV-A,Quezon,Agdangan,Silangang Kalutan Fish Sanctuary,2001,121.9166667,14.11666667
21,VI,Iloilo,Ajuy,Ginasian Daku Island Fish Sanctuary,2004,123.02147,11.10288
22,VI,Iloilo,Ajuy,Ginasian Diutay Island Fish Sanctuary,2004,123.01038,11.06765
23,VI,Iloilo,Ajuy,Nasidman Islan Sanctuary,2004,122.78146,10.98223
24,XII,Sarangani,Alabel,Baybay Kawas Fish Sanctuary,1999,125.269389,6.06125
25,I,Pangasinan,Alaminos,Telbang PLS /Marine Protected Area,1993,120.0106667,16.34927778
26,VIII,Leyte,Albuera,Benolho Fish Sanctuary,1993,124.67916,10.94138
27,VIII,Leyte,Albuera,Magbangon (Tinagan) Fish Sanctuary,1995,124.8225,11.75
28,VII,Bohol,Albuquerque,Santa Filomena (Sta. Fe) Marine Sanctuary,2002,123.9727,9.6007
29,VII,Cebu,Alcantara,Binlanan Restricted Area,2002,123.3891667,9.973888889
30,VII,Cebu,Alcantara,Magkalagom Restricted Area,2002,123.3902778,9.990166667
31,VII,Cebu,Alcantara,Talaongan Marine Sanctuary,2008,123.39771,9.98339
32,VII,Cebu,Alcoy,Daan-Lungsod and Guiwang Marine Sanctuary,2002,123.5043889,9.679166667
33,VII,Cebu,Alegria,Legaspi Marine Sanctuary,2002,123.3363889,9.714722222
34,VII,Cebu,Alegria,Madridejos Marine Sanctuary,1994,123.3575,9.803916667
35,VII,Cebu,Alegria,Santa Filomena Marine Sanctuary,1994,123.3399167,9.754388889
36,IX,Zamboanga Sibugay,Alicia,Tantanang Bay MPA,2005,122.901,7.533
37,X,Misamis Oriental,Alubijid,Baybay Molocboloc Fish Sanctuary,2006,124.7438889,8.703055556
38,VII,Negros Oriental,Amlan,Bio-os Marine Reserve,1999,123.23873,9.44718
39,VII,Negros Oriental,Amlan,Tandayag Marine Sanctuary,1996,123.2358681,9.453472222
40,VIII,Southern Leyte,Anahawan,Cogon Fish Sanctuary,1999,125.26244,10.27607
41,VIII,Southern Leyte,Anahawan,Lewing Fish Sanctuary,2005,125.2666188,10.31160396
42,VII,Bohol,Anda,Badiang Fish Sanctuary,1999,124.595213,9.802949074
43,VII,Bohol,Anda,Linawan Municipal Fish Sanctuary,1999,124.5959785,9.782020139
44,VII,Bohol,Anda,Suba Marine Sanctuary,2004,124.5817139,9.746583333
45,I,Pangasinan,Anda,Cabungan Fish Sanctuary,1999,120.0109339,16.34724
46,I,Pangasinan,Anda,Caniogan MPA,2001,119.9925,16.37783333
47,I,Pangasinan,Anda,Carot Fish Sanctuary,1999,119.9963583,16.37875
48,I,Pangasinan,Anda,Magsaysay MPA,2001,120.030278,16.264444
49,I,Pangasinan,Anda,Panacalan MPA,2002,120.0975556,16.2680002
50,I,Pangasinan,Anda,Tondol MPA,2001,119.7724,16.2549
51,VI,Iloilo,Anilao,Anilao Reserve Area for Seagrass and Brown Mussl,1997,122.78146,10.982223
52,VI,Antique,Anini-Y,Nogas Island Fish Sanctuary,1993,121.92381,10.419566
53,VII,Cebu,Argao,Binlod Marine Sanctuary,2003,123.61,9.91
54,VII,Cebu,Argao,Bogo Marine Sanctuary,2002,123.574,9.85
55,VII,Cebu,Argao,Bulasa Marine Sanctuary,2003,123.62,9.93
56,VII,Cebu,Argao,Casay Marine Sanctuary,2003,123.56,9.83
57,VII,Cebu,Argao,Langtad Marine Sanctuary,2002,123.6,9.9
58,VII,Cebu,Argao,Talaga Marine Sanctuary,2003,123.5747,9.8572
59,VII,Cebu,Argao,Talo-ot Marine Sanctuary,2003,123.57,9.85
60,VII,Cebu,Argao,Tulic Marine Sanctuary,2002,123.58,9.86
61,VII,Negros Oriental,Ayungon,Anibong Marine Sanctuary,2005,123.1345775,9.831855647
62,VII,Negros Oriental,Ayungon,Awaan Marine Sanctuary,2005,123.14491,9.82133
63,VII,Negros Oriental,Ayungon,Calagcalag Fish Sanctuary,1988,123.1457875,9.823070833
64,VII,Negros Oriental,Ayungon,Iniban Marine Sanctuary,1996,123.1502,9.871375
65,VII,Negros Oriental,Ayungon,Tampocon I Marine Reserve,2005,123.143,9.84311
66,VII,Negros Oriental,Ayungon,Tiguib Marine Reserve,2005,123.1446071,9.807315213
67,VIII,Leyte,Babatngon,Babatngon Fish Sanctuary (Calangawan Is.),1991,124.87917,11.54167
68,VII,Bohol,Baclayon,Pamilacan Island Fish Sanctuary,1986,123.9172,9.58361
69,V,Sorsogon,Bacon,Bacon Marine Reserve,1999,124.020625,13.07
70,VII,Negros Oriental,Bacong,Buntis Marine Sanctuary,2000,123.15708,9.59794
71,XIII,Surigao Del Norte,Bacuag,Bacuag Marine Protected Area,2007,125.6396111,9.615138889
72,IX,Zamboanga Del Norte,Bacungan,Polo Bato MPA,1998,122.9048611,8.148361111
73,VII,Cebu,Badian,Bato Seagrass and Fish Sanctuary,2003,123.3708333,9.839166667
74,VII,Cebu,Badian,Hinablan Marine Sanctuary,2003,123.36897,9.863027
75,VII,Cebu,Badian,Lambog Seagrass and Fish Sanctuary,2003,123.3641667,9.869166667
76,VII,Cebu,Badian,Matutinao Marine Sanctuary,2003,123.3636111,9.845555556
77,VII,Cebu,Badian,Zaragosa Fish Sanctuary,1987,123.3829583,9.893066667
78,XI,Davao Oriental,Baganga,Ban-ao Marine Protected Area,1997,126.5771563,7.58857343
79,XI,Davao Oriental,Baganga,Kinablangan Fish Sanctuary,2005,126.568,7.692
80,VII,Negros Oriental,Bais City,Sanlangan Marine Sanctuary,1994,123.15466,9.57752
81,VIII,Eastern Samar,Balangiga,BALANGIGA REEF FISH SANCTUARY (PAGLALANGNAN REEF),2003,125.36497,11.10614
82,IV-A,Batangas,Balayan,Carenahan Fish Sanctuary,2003,120.7582429,13.93030571
83,III,Aurora,Baler,Baler Marine Protected Area,2006,121.6249005,15.7581605
84,III,Aurora,Baler,Digisit-Puntian Marine Sanctuary,2006,121.630861,15.758325
85,X,Misamis Oriental,Balingasag,Hermano Fish Sanctuary,2005,124.7577888,8.765742255
86,X,Misamis Oriental,Balingasag,Mambayaan Fish Sanctuary,2006,124.8391834,9.006939092
87,X,Misamis Oriental,Balingoan,Lapinig Marine Sanctuary,1998,124.8596289,9.007236405
88,X,Misamis Oriental,Balingoan,Mantangale Marine Sanctuary,1994,124.850797,9.007558475
89,X,Misamis Oriental,Balingoan,San Alonzo Marine Sanctuary,2002,124.7825,8.911388889
90,VI,Iloilo,Banate,Hibotkan Rock Sanctuary,1995,122.78397,10.898
91,I,Pangasinan,Bani,Bani Mangrove Marine Protected Area,2001,119.9271838,16.24818875
92,I,Pangasinan,Bani,Sanktuwaryo Sancedaco Marine Protected Area,2004,119.775833,16.244722
93,I,Pangasinan,Bani,Surip-Olanen Marine Protected Area,2004,119.8782222,16.39781111
94,VII,Cebu,Bantayan,Atop-Atop Marine Sanctuary,1996,123.7649388,11.254223
95,VII,Cebu,Bantayan,Baigad Marine Sanctuary,2006,123.70347,11.18656
96,VII,Cebu,Bantayan,Bantigue Marine Sanctuary,1999,123.706077,11.162728
97,VII,Cebu,Bantayan,Baod Fish Sanctuary,1999,123.69375,11.21124
98,VII,Cebu,Bantayan,Binaobao Marine Sanctuary,2003,123.6917,11.1042
99,VII,Cebu,Bantayan,Botigues Marine Sanctuary,1999,123.6917,11.1042
100,VII,Cebu,Bantayan,Doong Marine Sanctuary,1999,123.6166667,11.06666667
101,VII,Cebu,Bantayan,Guiwanon Fish Sanctuary,2002,123.69666,11.20108
102,VII,Cebu,Bantayan,Kabac Marine Sanctuary,2006,123.63958,11.06666
103,VII,Cebu,Bantayan,Lipayran Marine Sanctuary,1999,123.6224,11.04481
104,VII,Cebu,Bantayan,Luyong-Baybay Marine Sanctuary,1999,123.6333333,11.06666667
105,VII,Cebu,Bantayan,Pasitagan Sulangon Marine Sanctuary,1999,123.67527,11.2293
106,VII,Cebu,Bantayan,Patao Marine Sanctuary,1999,123.77075,11.20901
107,VII,Cebu,Bantayan,Sillon Marine Sanctuary,1996,123.70265,11.11723
108,VII,Cebu,Bantayan,Sulangan Marine Sanctuary,1996,123.49447,10.13283
109,VII,Cebu,Bantayan,Tamiao Marine Sanctuary,1996,123.76661,11.22248
110,VI,Antique,Barbaza,Batabat Coral Reef Reserve,1997,122.02583,11.19526
111,VII,Cebu,Barili,Barili Marine Sanctuary,2001,123.4833333,10.11666667
112,VI,Iloilo,Barotac Nuevo,Barotac Mangrove Reserve & Aquatic Wildlife Sanctuary,1999,122.93889,10.9
113,VI,Iloilo,Barotac Nuevo,Lamintao-Pasil Area Sanctuary,2004,122.93889,10.9
114,VIII,Leyte,Barugo,Barugo Fish Sanctuary,1991,124.76599,11.35839
115,VII,Negros Oriental,Basay,Bongalonan Marine Sanctuary,1985,122.5970528,9.433116668
116,VII,Negros Oriental,Basay,Villareal Lampirong Reserve,2003,122.76948,9.36715
117,II,Batanes,Basco,Basco Community Marine Sanctuary,2005,121.9574306,20.44173611
118,VI,Iloilo,Batad,Batad Marine Reserve,2001,123.137,11.422
119,VI,Aklan,Batan,Mambuquiao Fish Sanctuary and Fishery Reserve,2001,122.57,11.57
120,IV-A,Batangas,Batangas City,Ilijan Fishery Refuge and Sanctuary,2011,121.0725367,13.62603333
121,IV-A,Batangas,Batangas City,Nalayag Point Fishery Refuge and Sanctuary,2002,121.044072,13.5572196
122,IV-A,Batangas,Batangas City,Pulong Bato Fishery Refuge and Sanctuary,2002,121.1032038,13.5333362
123,V,Camarines Sur,Bato,Payak Fish Sanctuary,2001,123.2633333,13.26097222
124,IV-A,Batangas,Bauan,San Pablo de Bauan MPA and Fishery Reserve,2009,120.9133167,13.80552
125,VII,Negros Oriental,Bayawan,Malabugas Lampirong Reserve,2003,122.72797,9.37383
126,VII,Negros Oriental,Bayawan,Municipal Waters of Bayawan Negros Oriental,2003,123.15245,9.74487
127,VII,Negros Oriental,Bayawan,Pagatban Lampirong Reserve,2003,122.72797,9.37383
128,VIII,Leyte,Baybay,Plaridel Marine Sanctuary,2005,124.77425,10.6418
129,VII,Bohol,Bien Unido,Bilang-Bilangan East,2000,124.4583,10.245
130,VII,Bohol,Bien Unido,Bilang-Bilangan West (Daku),2000,124.4416,10.2533
131,VII,Bohol,Bien Unido,Hingotanan East Marine Sanctuary,2002,124.4937222,10.24028472
132,VII,Bohol,Bien Unido,Hingotanan West Marine Sanctuary,2002,124.4811806,10.23597222
133,VII,Bohol,Bien Unido,Liberty Marine Sanctuary,2002,124.3917917,10.10327083
134,VII,Bohol,Bien Unido,Malingin Fish Sanctuary,1994,124.4455185,10.16175926
135,VII,Bohol,Bien Unido,Mandawa Fish Sanctuary,2000,124.3937153,10.13392361
136,VII,Bohol,Bien Unido,Maomawan Fish Sanctuary,1997,124.4647361,10.18019931
137,VII,Bohol,Bien Unido,Pinamgo Marine Sanctuary,2000,124.3735076,10.1915625
138,VII,Bohol,Bien Unido,Puerto San Pedro Fish Sanctuary,1995,124.368556,10.160833
139,VII,Bohol,Bien Unido,Sagasa Marine Sanctuary,2002,124.4267222,10.20761806
140,VII,Bohol,Bien Unido,San Antonio Marine Sanctuary,2002,124.43333,10.31667
141,VII,Bohol,Bien Unido,Tuboran Marine Sanctuary,2000,124.3958472,10.13188889
142,VII,Negros Oriental,Bindoy,Cabugan Marine Reserve,1986,123.154585,9.75434962
143,VII,Negros Oriental,Bindoy,Domolog Marine Reserve,2003,123.1466733,9.76909178
144,VII,Negros Oriental,Bindoy,Malaga Marine Reserve,1996,123.15383,9.7253
145,VII,Negros Oriental,Bindoy,Mantalip Marine Reserve,2007,123.1653833,9.799136111
146,VII,Negros Oriental,Bindoy,Pangalaycayan Marine Sanctuary,2008,123.1551617,9.7400426
147,VII,Negros Oriental,Bindoy,Tinaogan Marine Reserve,1988,123.150349,9.7800108
148,X,Misamis Oriental,Binuangan,Dampias Fish Sanctuary,2006,124.7803542,8.909034725
149,X,Misamis Oriental,Binuangan,Dampias-Mosangot Marine Sanctuary,2005,124.77965,8.911204
150,VIII,Northern Samar,Biri,"Biri-Larosa PLS (Biri, Lavesarez, Rosario & San Jose)",2000,125.126,12.578
151,VIII,Northern Samar,Biri,Biri-Magtutuka Island Fish Sanctuary,2002,124.485,12.549
152,VIII,Northern Samar,Biri,Pio del Pilar Fish Sanctuary,2002,124.358,12.662
153,IV-B,Marinduque,Boac,Caganhao Fish Sanctuary,2002,121.8394032,13.24029142
154,VII,Cebu,Bogo,"Capitancillo, Bogo CEP",2004,124.10865,10.99373
155,VII,Cebu,Bogo,Marangog Marine Sanctuary,2006,124.03649,11.07235
156,VII,Cebu,Bogo,Siocon Marine Sanctuary,2003,124.0416667,11.73333333
157,I,Pangasinan,Bolinao,Arnedo Marine Sanctuary,1999,119.876125,16.39583958
158,I,Pangasinan,Bolinao,Balingasay Marine Sanctuary,1997,119.8456944,16.37000834
159,I,Pangasinan,Bolinao,Bolinao Seagrass Reserve,2007,119.95257,16.43007
160,I,Pangasinan,Bolinao,Ilog Malino Marine Protected Area,2007,119.8031785,16.352234
161,I,Pangasinan,Bolinao,Patar Marine Sanctuary,2005,119.79464,16.34322625
162,I,Pangasinan,Bolinao,Victory Marine Protected Area,2002,119.966,16.393111
163,VII,Cebu,Boljoon,Arbor Marine Sanctuary,2002,123.4861166,9.637720824
