"Table 2.  Household Population, Number of Households and Average Household Size ",,,,
"by Region, Province, City, and Municipality: Philippines, 2015",,,,
,,,,
"Region, Province, City, and Municipality",,Household Population,Number of Households,Average Household Size 
,,,,
,,,,
PHILIPPINES,," 100,573,715 "," 22,975,630 ", 4.4 
,,,,
NATIONAL CAPITAL REGION (NCR),," 12,787,669 "," 3,095,766 ", 4.1 
City of Manila,," 1,763,348 "," 435,237 ", 4.1 
City of Mandaluyong,," 377,850 "," 100,356 ", 3.8 
City of Marikina,," 448,893 "," 98,238 ", 4.6 
City of Pasig,," 753,030 "," 180,612 ", 4.2 
Quezon City,," 2,919,657 "," 683,126 ", 4.3 
City of San Juan,," 121,197 "," 28,740 ", 4.2 
Caloocan City,," 1,581,025 "," 367,878 ", 4.3 
City of Malabon,," 364,283 "," 86,191 ", 4.2 
City of Navotas,," 249,176 "," 60,904 ", 4.1 
City of Valenzuela,," 619,324 "," 153,041 ", 4.0 
City of Las Pi–as,," 587,675 "," 141,925 ", 4.1 
City of Makati,," 579,433 "," 154,095 ", 3.8 
City of Muntinlupa,," 481,762 "," 122,286 ", 3.9 
City of Para–aque,," 663,733 "," 163,074 ", 4.1 
Pasay City,," 412,497 "," 107,619 ", 3.8 
Pateros,," 63,643 "," 14,188 ", 4.5 
Taguig City,," 801,143 "," 198,256 ", 4.0 
,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),,"1,714,220","395,881", 4.3 
,,,,
ABRA,,"240,233","53,062", 4.5 
Bangued (Capital),,"47,820","11,024", 4.3 
Boliney,,"3,540",760, 4.7 
Bucay,,"17,079","3,863", 4.4 
Bucloc,,"2,501",442, 5.7 
Daguioman,,"2,088",375, 5.6 
Danglas,,"4,190",910, 4.6 
Dolores,,"11,301","2,548", 4.4 
La Paz,,"15,433","3,442", 4.5 
Lacub,,"3,369",647, 5.2 
Lagangilang,,"14,200","3,147", 4.5 
Lagayan,,"4,499",932, 4.8 
Langiden,,"3,197",705, 4.5 
Licuan-Baay (Licuan),,"4,599",968, 4.8 
Luba,,"6,335","1,370", 4.6 
Malibcong,,"3,380",746, 4.5 
Manabo,,"10,724","2,475", 4.3 
Pe–arrubia,,"6,640","1,478", 4.5 
Pidigan,,"12,090","2,728", 4.4 
Pilar,,"10,216","2,289", 4.5 
Sallapadan,,"6,614","1,341", 4.9 
San Isidro,,"4,573","1,082", 4.2 
San Juan,,"9,845","2,217", 4.4 
San Quintin,,"5,421","1,249", 4.3 
Tayum,,"14,445","3,140", 4.6 
Tineg,,"5,083",980, 5.2 
Tubo,,"5,678",984, 5.8 
Villaviciosa,,"5,373","1,220", 4.4 
,,,,
BENGUET (excluding BAGUIO CITY),,"444,634","106,838", 4.2 
Atok,,"19,567","4,378", 4.5 
Bakun,,"15,146","3,350", 4.5 
Bokod,,"13,750","2,877", 4.8 
Buguias,,"43,546","10,874", 4.0 
Itogon,,"59,578","14,226", 4.2 
Kabayan,,"15,237","3,489", 4.4 
Kapangan,,"19,361","4,198", 4.6 
Kibungan,,"17,281","3,587", 4.8 
La Trinidad (Capital),,"128,360","34,157", 3.8 
Mankayan,,"35,914","8,088", 4.4 
Sablan,,"11,440","2,603", 4.4 
Tuba,,"47,564","11,152", 4.3 
Tublay,,"17,890","3,859", 4.6 
,,,,
BAGUIO CITY,,"342,200","89,987", 3.8 
